가	G A
가게	G A G E
가구의	G A G U euI
가리킵니다	G A R I Kh I M N I D A
가만히	G A M A N I
가방에	G A B A NG E
가서	G A S EO
가슴이	G A S EU M I
가을	G A EU L
가자	G A J A
가져다주는	G A J iEO D A J U N EU N
가족이	G A J O G I
각각	G A k GG A k
간식	G A N S I k
간장	G A N J A NG
갈까	G A L GG A
갈대에	G A L D AE E
갈등	G A L D EU NG
갈라져서	G A L L A J iEO S EO
갈비	G A L B I
감기	G A M G I
감사의	G A M S A euI
감사합니다	G A M S A A M N I D A
감상이	G A M S A NG I
감정을	G A M J EO NG EU L
갑자기	G A p JJ A G I
갔다	G A t DD A
갔습니다	G A S SS EU M N I D A
갔어요	G A SS EO iO
갔지	G A t JJ I
강화	G A NG H oA
갖다	G A t DD A
같습니다	G A t SS EU M N I D A
같은	G A Th EU N
같이	G A Th I
갚았다	G A Ph A t DD A
개고	G AE G O
개별적인	G AE B iEO L J EO G I N
거	G EO
거야	G EO iA
걱정을	G EO k JJ EO NG EU L
걱정하는	G EO k JJ EO NG H A N EU N
건강	G EO N G A NG
건강에	G EO N G A NG E
건강을	G EO N G A NG EU L
건강한	G EO N G A NG H A N
걷힌	G EO Th I N
걸	G EO L
걸려요	G EO L L iEO iO
걸린	G EO L L I N
검사	G EO M S A
검사가	G EO M S A G A
검증했고	G EO M J EU NG H AE t GG O
것	G EO N
것	G EO S
것	G EO t
것들을	G EO t DD EU R EU L
것은	G EO S EU N
것을	G EO S EU L
것을	G EO S EU R
것이	G EO S I
것이다	G EO S I D A
것입니다	G EO S I M N I D A
것처럼	G EO t CHh EO R EO M
게	G E
게	Kh E
게을리하지	G E EU L L I A J I
격려	G iEO NG N iEO
겪다	G iEO k DD A
결과에서	G iEO L G oA E S EO
결정은	G iEO L J EO NG EU N
경미한	G iEO NG M I A N
계세요	G iE S E iO
계속할	G iE S O Kh A L
계획을	G iE OE G EU L
고저	Kh O J EO
골목을	G O L M O G EU L
곳에	G O S E
공권력의	G O NG G uEO N N iEO G euI
공부하게	G O NG B U A G E
공부했습니다	G O NG B U AE S SS EU M N I D A
공짜	G O NG JJ A
공항과	G O NG H A NG G oA
공항이	G O NG H A NG I
과정	G oA J EO NG
과하게	G oA A G E
관심은	G oA N S I M EU N
관심이	G oA N S I M I
괜찮다	G O AE N CHh A N Th A
괜찮은지를	G O AE N CHh A N EU N J I R EU L
괴물	G OE M U L
교육열	G iO iU G iEO R
구두	G U D U
구하다	G U A D A
국내선	G U NG N AE S EO N
국민	G U NG M I N
국이	G U G I
국제선	G U k JJ E S EO N
궁리	G U NG N I
권력과	G uEO N N iEO k GG oA
권하다	G uEO N A D A
귀	G UE
귀에다	G UE E D A
귓속말하는	G UE S SS O NG M A R H A N EU N
규칙적인	G iU CHh I k JJ EO G I N
그	G EU
그거	G EU G EO
그것도	G EU G EO t DD O
그냥	G EU N iA NG
그랬냐는	G EU R AE N N iA N EU N
그러나	G EU R EO N A
그런데	G EU R EO N D E
그렇게	G EU R EO Kh E
그렇다면	G EU R EO Th A M iEO N
그렇지만	G EU R EO CHh I M A N
그릇	G EU R EU S
그리고	G EU R I G O
그림	G EU R I M
그만	G EU M A N
근로자	G EU N N O J A
글씨	G EU L SS I
금요일이	G EU M iO I R I
급하다	G EU Ph A D A
급한	G EU Ph A N
기능의	G I N EU NG euI
기능이	G I N EU NG I
기다려	G I D A R iEO
기다리다	G I D A R I D A
기막히다	G I M A Kh I D A
기본이라고	G I B O N I R A G O
기부금으로	G I B U G EU M EU R O
기쁩니다	G I BB EU M N I D A
기준을	G I J U N EU L
기준을	G I J U N EU R
길이	G I R I
김치	G I M CHh I
깨끗이	GG AE GG EU S I
꼬리	GG O R I
꼭	G O k
꼭	GG O k
꽃	G O CHh
꽃	G O N
꽃	G O S
꽃	G O t
꽃	GG O t
꽃을	GG O CHh EU L
끄고	G EU G O
끊지만	GG EU N CHh I M A N
끓는데	G EU N N EU N D E
끓이는	G EU R I N EU N
끓이는	GG EU R I N EU N
끕시다	G EU p SS I D A
끝났을걸	GG EU N N A SS EU L G EO L
끝났을걸	GG EU N N A SS EU L G EO N
끝났을걸	GG EU N N A SS EU L G EO R
끝이	GG EU Th I
나	N A
나가	N A G A
나갈	N A G A L
나갈	N A G A R
나갔는데	N A G A N N EU N D E
